chapter,chapter_name,section_id,section_name,req_id,req_description,L,日本語訳,ステータス,対応方法,ドキュメント,実装確認結果,インフラリソース,エビデンス,要件対象リソース
V1,Encoding and Sanitization,V1.2,Injection Prevention,V1.2.9,Verify that the application escapes special characters in regular expressions (typically using a backslash) to prevent them from being misinterpreted as metacharacters.,2,正規表現内の特殊文字がメタ文字として誤って解釈されるのを防ぐために、アプリケーションがそれらをエスケープしていること（通常はバックスラッシュを使用）を確認してください。,対象外,,対象外,実装は対象外。¥n要件を満たしている（該当リスクなし）。ユーザーの入力値を用いて正規表現を動的に組み立てる処理は存在しないため、エスケープ処理は不要である。,対象外,対象外,ソースコード
V1,Encoding and Sanitization,V1.2,Injection Prevention,V1.2.10,"Verify that the application is protected against CSV and Formula Injection. The application must follow the escaping rules defined in RFC 4180 sections 2.6 and 2.7 when exporting CSV content. Additionally, when exporting to CSV or other spreadsheet formats (such as XLS, XLSX, or ODF), special characters (including '=', '+', '-', '@', '\t' (tab), and '\0' (null character)) must be escaped with a single quote if they appear as the first character in a field value.",3,アプリケーションがCSVおよび数式インジェクションから保護されていることを確認してください。アプリケーションは、CSVコンテンツをエクスポートする際にRFC 4180のセクション2.6および2.7で定義されたエスケープ規則に従う必要があります。さらに、CSVまたはその他のスプレッドシート形式にエクスポートする場合、特殊文字（「=」、「+」、「-」、「@」、「\t」、「\0」を含む）がフィールド値の最初の文字として表示される場合は、シングルクォートでエスケープする必要があります。,対象外,,対象外,要件を満たしている（該当機能なし）。¥n現状、システム内でユーザー入力を含むCSVやスプレッドシートの動的生成・エクスポート機能は提供していない。,対象外,対象外,ソースコード
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.1,Verify that all untrusted HTML input from WYSIWYG editors or similar is sanitized using a well-known and secure HTML sanitization library or framework feature.,1,WYSIWYGエディタなどからの信頼できないすべてのHTML入力が、よく知られた安全なHTMLサニタイズライブラリまたはフレームワークの機能を使用してサニタイズされていることを確認してください。,対象外,,対象外,要件を満たしている（該当機能なし）。¥n本システムではWYSIWYGエディタ等によるHTMLの直接入力を受け付ける機能は存在しない。,対象外,対象外,ソースコード
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.2,"Verify that the application avoids the use of eval() or other dynamic code execution features such as Spring Expression Language (SpEL). Where there is no alternative, any user input being included must be sanitized before being executed.",1,アプリケーションが「eval()」やSpring Expression Language (SpEL) のようなその他の動的コード実行機能の使用を避けていることを確認してください。代替手段がない場合、含まれるユーザー入力は実行前にサニタイズされなければなりません。,対応済み,,対象外,要件を満たしている。¥nフロントエンド（React/Next.js）およびバックエンド（Fastify/Node.js）の双方において、eval()やnew Function()、SpEL等の動的コード実行機能は使用していない。,対象外,全ソースコード検索による確認,ソースコード
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.3,"Verify that data being passed to a potentially dangerous context is sanitized beforehand to enforce safety measures, such as only allowing characters which are safe for this context and trimming input which is too long.",2,潜在的に危険なコンテキストに渡されるデータが、このコンテキストに対して安全な文字のみを許可したり、長すぎる入力をトリミングしたりするなど、安全対策を強制するために事前にサニタイズされていることを確認してください。,対応済み,,対象外,要件を満たしている。¥nシステム外からの入力データはすべて、処理される前に `zod` を用いたスキーマバリデーションを通過し、文字種や文字列長の上限チェックが強制される。,対象外,server/validators/ 等のZodスキーマ定義,ソースコード
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.4,"Verify that user-supplied Scalable Vector Graphics (SVG) scriptable content is validated or sanitized to contain only tags and attributes (such as draw graphics) that are safe for the application, e.g., do not contain scripts and foreignObject.",2,ユーザーから提供されたスケーラブルベクターグラフィックス（SVG）のスクリプト可能なコンテンツが、アプリケーションにとって安全なタグと属性のみを含むように検証またはサニタイズされていること、例えばスクリプトや「foreignObject」を含まないことを確認してください。,未対応,zod等を用いて、アップロードされた画像がSVG形式でないか（Content-Typeおよびマジックバイト等の検証により）確認し、SVGの場合は拒否するか、またはサニタイズする処理を実装する。,対象外,未対応。¥n現在タスク画像として任意のファイルアップロードが可能であり、SVGに対する検証・サニタイズ処理が存在しないため。,対象外,対象外,ソースコード
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.5,"Verify that the application sanitizes or disables user-supplied scriptable or expression template language content, such as Markdown, CSS or XSL stylesheets, BBCode, or similar.",2,アプリケーションが、Markdown、CSSまたはXSLスタイルシート、BBCodeなどのような、ユーザー提供のスクリプト可能なコンテンツまたは式テンプレート言語のコンテンツをサニタイズまたは無効化することを確認してください。,対象外,,対象外,要件を満たしている（該当機能なし）。¥nシステム内でユーザーが独自のマークアップ（Markdown、カスタムCSS等）を入力・表示できる機能は存在しない。,対象外,対象外,ソースコード
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.6,"Verify that the application protects against Server-side Request Forgery (SSRF) attacks, by validating untrusted data against an allowlist of protocols, domains, paths and ports and sanitizing potentially dangerous characters before using the data to call another service.",2,サーバーサイドリクエストフォージェリ（SSRF）攻撃から保護されていることを確認してください。これは、信頼できないデータをプロトコル、ドメイン、パス、ポートの許可リストに対して検証し、データを使用して別のサービスを呼び出す前に潜在的に危険な文字をサニタイズすることによって行われます。,対応済み,,対象外,要件を満たしている。¥nバックエンド（ECS）から外部サービスへHTTPリクエストを行う際、ユーザー入力のURLを直接呼び出す処理は実装されておらず、SSRFのリスクは防止されている。,対象外,server/ 内の外部API呼び出し実装,ソースコード
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.7,"Verify that the application protects against template injection attacks by not allowing templates to be built based on untrusted input. Where there is no alternative, any untrusted input being included dynamically during template creation must be sanitized or strictly validated.",2,信頼できない入力に基づいてテンプレートが構築されることを許可しないことにより、アプリケーションがテンプレートインジェクション攻撃から保護されていることを確認してください。代替手段がない場合、テンプレート作成時に動的に含まれる信頼できない入力は、サニタイズされるか厳格に検証されなければなりません。,対応済み,,対象外,要件を満たしている。¥nバックエンドはJSON APIとして機能し、サーバーサイドテンプレートエンジン（EJS、Pug等）は使用していないため、テンプレートインジェクションのリスクはない。,対象外,server/ のレンダリング非実施確認,ソースコード
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.8,Verify that the application appropriately sanitizes untrusted input before use in Java Naming and Directory Interface (JNDI) queries and that JNDI is configured securely to prevent JNDI injection attacks.,2,Java Naming and Directory Interface (JNDI) クエリで使用する前に、アプリケーションが信頼できない入力を適切にサニタイズしていること、およびJNDIインジェクション攻撃を防ぐためにJNDIが安全に設定されていることを確認してください。,対象外,,対象外,実装は対象外。¥n要件を満たしている。本システムはTypeScript/Node.jsベース（React/Fastify）であり、Java固有のJNDIは使用していない。,対象外,対象外,ソースコード
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.9,Verify that the application sanitizes content before it is sent to memcache to prevent injection attacks.,2,インジェクション攻撃を防ぐために、memcacheに送信する前にアプリケーションがコンテンツをサニタイズすることを確認してください。,対象外,,対象外,実装は対象外。¥n本システムではMemcache等のインメモリキャッシュストアは使用しておらず、該当リスクはない。,対象外,対象外,ソースコード
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.10,Verify that format strings which might resolve in an unexpected or malicious way when used are sanitized before being processed.,2,使用時に予期しない、または悪意のある方法で解決される可能性のあるフォーマット文字列が、処理される前にサニタイズされていることを確認してください。,対応済み,,対象外,要件を満たしている。¥nフォーマット文字列攻撃のリスクがあるC言語のprintfのような動的フォーマット評価はNode.js/TypeScriptの標準機能には存在せず、テンプレートリテラルは安全に評価される。,対象外,全ソースコード（TS）,ソースコード
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.11,Verify that the application sanitizes user input before passing to mail systems to protect against SMTP or IMAP injection.,2,SMTPまたはIMAPインジェクションから保護するために、メールシステムに渡す前にアプリケーションがユーザー入力をサニタイズすることを確認してください。,対象外,,対象外,要件を満たしている（該当機能なし）。¥nアプリケーションから直接SMTP/IMAPでメール送信を行う機能は存在しない。AWS SES等のマネージドサービス経由でも、ユーザー入力を直接ヘッダーに注入するような構成はない。,対象外,対象外,ソースコード
V1,Encoding and Sanitization,V1.3,Sanitization,V1.3.12,"Verify that regular expressions are free from elements causing exponential backtracking, and ensure untrusted input is sanitized to mitigate ReDoS or Runaway Regex attacks.",3,正規表現に指数関数的なバックトラッキングを引き起こす要素が含まれていないことを確認し、ReDoS（正規表現のサービス拒否）または暴走正規表現攻撃を軽減するために信頼できない入力がサニタイズされていることを確認してください。,対象外,,対象外,実装は対象外。¥n要件を満たしている。入力バリデーション（zod）で使用する正規表現は、バックトラッキングが爆発しないよう単純なパターンに限定しており、ReDoS攻撃を軽減している。,対象外,server/common/validators/ 等の正規表現定義,ソースコード
V1,Encoding and Sanitization,V1.4,"Memory, String, and Unmanaged Code",V1.4.1,"Verify that the application uses memory-safe string, safer memory copy and pointer arithmetic to detect or prevent stack, buffer, or heap overflows.",2,アプリケーションが、スタック、バッファ、またはヒープのオーバーフローを検出または防止するために、メモリセーフな文字列、より安全なメモリコピー、およびポインタ演算を使用していることを確認してください。,対応済み,,対象外,要件を満たしている。¥nJavaScript/TypeScriptはメモリセーフな言語であり、V8エンジンによってバッファオーバーフロー等のメモリアクセス違反は自動的に防止される。,対象外,言語仕様 (TypeScript/Node.js),ソースコード
V1,Encoding and Sanitization,V1.4,"Memory, String, and Unmanaged Code",V1.4.2,"Verify that sign, range, and input validation techniques are used to prevent integer overflows.",2,整数オーバーフローを防止するために、符号、範囲、および入力検証の技術が使用されていることを確認してください。,対応済み,,対象外,要件を満たしている。¥nzodによるスキーマバリデーションにて、数値入力に対して `z.number().min().max()` などを用いて適切な範囲検証を実施し、オーバーフロー/アンダーフローを防いでいる。,対象外,server/validators/ の数値バリデーション,ソースコード
V1,Encoding and Sanitization,V1.4,"Memory, String, and Unmanaged Code",V1.4.3,"Verify that dynamically allocated memory and resources are released, and that references or pointers to freed memory are removed or set to null to prevent dangling pointers and use-after-free vulnerabilities.",2,動的に割り当てられたメモリとリソースが解放されていること、およびダングリングポインタと解放後使用（use-after-free）の脆弱性を防ぐために、解放されたメモリへの参照またはポインタが削除されるかnullに設定されていることを確認してください。,対応済み,,対象外,要件を満たしている。¥nJavaScript/TypeScriptのガベージコレクションによってメモリは自動管理されるため、解放後使用（Use-After-Free）やダングリングポインタの問題は発生しない。,対象外,言語仕様 (TypeScript/Node.js),ソースコード
V1,Encoding and Sanitization,V1.5,Safe Deserialization,V1.5.1,Verify that the application configures XML parsers to use a restrictive configuration and that unsafe features such as resolving external entities are disabled to prevent XML eXternal Entity (XXE) attacks.,1,アプリケーションが制限的な構成を使用するようにXMLパーサーを設定していること、およびXML外部エンティティ（XXE）攻撃を防ぐために外部エンティティの解決などの安全でない機能が無効化されていることを確認してください。,対象外,,対象外,要件を満たしている（該当機能なし）。¥nシステム内でXMLパーサーは使用しておらず、外部エンティティ参照（XXE）のリスクはない。,対象外,対象外,ソースコード
V1,Encoding and Sanitization,V1.5,Safe Deserialization,V1.5.2,"Verify that deserialization of untrusted data enforces safe input handling, such as using an allowlist of object types or restricting client-defined object types, to prevent deserialization attacks. Deserialization mechanisms that are explicitly defined as insecure must not be used with untrusted input.",2,信頼できないデータのデシリアライズにおいて、デシリアライズ攻撃を防ぐために、オブジェクト型の許可リストの使用やクライアント定義のオブジェクト型の制限など、安全な入力処理が強制されていることを確認してください。明示的に安全でないと定義されているデシリアライズのメカニズムは、信頼できない入力とともに使用してはなりません。,対応済み,,対象外,要件を満たしている。¥n安全でないデシリアライズ（PythonのpickleやJavaのObjectInputStream等）は使用せず、標準的で安全な `JSON.parse` のみを用いてデータの変換を行っている。,対象外,全ソースコードでのJSON通信,ソースコード
V1,Encoding and Sanitization,V1.5,Safe Deserialization,V1.5.3,"Verify that different parsers used in the application for the same data type (e.g., JSON parsers, XML parsers, URL parsers), perform parsing in a consistent way and use the same character encoding mechanism to avoid issues such as JSON Interoperability vulnerabilities or different URI or file parsing behavior being exploited in Remote File Inclusion (RFI) or Server-side Request Forgery (SSRF) attacks.",3,同じデータ型に対してアプリケーションで使用される異なるパーサーが、JSONの相互運用性の脆弱性や、異なるURIまたはファイル解析の挙動がRFIやSSRF攻撃で悪用されるなどの問題を回避するために、一貫した方法で解析を行い、同じ文字エンコーディングメカニズムを使用していることを確認してください。,対象外,,対象外,実装は対象外。¥n要件を満たしている。システム全体（バックエンド・フロントエンド）で一貫してJavaScriptネイティブの `JSON.parse/stringify` を使用しており、パーサーの差異による相互運用性の脆弱性はない。,対象外,標準のJSON仕様の利用,ソースコード
V2,Validation and Business Logic,V2.1,Validation and Business Logic Documentation,V2.1.1,"Verify that the application's documentation defines input validation rules for how to check the validity of data items against an expected structure. This could be common data formats such as credit card numbers, email addresses, telephone numbers, or it could be an internal data format.",1,アプリケーションのドキュメントに、データ項目の妥当性を期待される構造に対してどのようにチェックするかという入力検証ルールが定義されていることを確認してください。これは、クレジットカード番号などの一般的なデータ形式である場合もあれば、内部的なデータ形式である場合もあります。,対応済み,,対象外,要件を満たしている。¥nアプリケーションの入力検証ルールは、Zodスキーマ（`server/validators/`等）を用いてデータ型・形式・長さとして厳格に定義・一元管理されており、これが実質的なドキュメント（コード・アズ・ドキュメント）として機能している。,対象外,server/common/validators/ 等のZodスキーマ,ドキュメント
V2,Validation and Business Logic,V2.1,Validation and Business Logic Documentation,V2.1.2,"Verify that the application's documentation defines how to validate the logical and contextual consistency of combined data items, such as checking that suburb and ZIP code match.",2,アプリケーションのドキュメントに、郊外と郵便番号の一致の確認など、結合されたデータ項目の論理的および文脈的な一貫性をどのように検証するかが定義されていることを確認してください。,対応済み,,対象外,要件を満たしている。¥n複数のデータ項目の関連性チェック（例：開始日と終了日の矛盾チェック等）が必要なロジックは、Zodの `refine` 機能や、コントローラー層・ユースケース層のビジネスロジック内で明示的に定義・検証されている。,対象外,server/ 側のユースケース・バリデーション実装,ドキュメント
V2,Validation and Business Logic,V2.1,Validation and Business Logic Documentation,V2.1.3,"Verify that expectations for business logic limits and validations are documented, including both per-user and globally across the application.",2,ビジネスロジックの制限と検証に関する期待事項が、ユーザーごとおよびアプリケーション全体の両方を含めて文書化されていることを確認してください。,確認中,該当する仕様書やドキュメントの有無を確認し、不足している場合は明文化・追記を行うこと。,要ドキュメント,未検証。¥nビジネスロジックの制限（例：一日の送金上限、権限ごとの操作範囲など）に関する包括的なドキュメント（仕様書）が存在するかは、ソースコードのみからは判断できない。運用上の仕様書を確認する必要がある。,対象外,要仕様書確認,ドキュメント
V2,Validation and Business Logic,V2.2,Input Validation,V2.2.1,"Verify that input is validated to enforce business or functional expectations for that input. This should either use positive validation against an allow list of values, patterns, and ranges, or be based on comparing the input to an expected structure and logical limits according to predefined rules. For L1, this can focus on input which is used to make specific business or security decisions. For L2 and up, this should apply to all input.",1,入力が検証され、その入力に対するビジネス上または機能上の期待事項が強制されていることを確認してください。これには、値、パターン、範囲の許可リストに対する肯定的な検証を使用するか、定義済みのルールに従って入力と期待される構造および論理的制限を比較することに基づく必要があります。レベル1では特定のビジネスまたはセキュリティの決定に使用される入力に焦点を当てることができ、レベル2以上ではすべての入力に適用する必要があります。,対応済み,,対象外,要件を満たしている。¥n外部からの入力はすべてバックエンド（Fastify）のルートハンドラでZodスキーマに照らし合わされ、許可された値、パターン、範囲（許可リスト方式）に合致するか肯定的な検証が強制されている。,対象外,Fastifyのスキーマバリデーションフック,ソースコード
V2,Validation and Business Logic,V2.2,Input Validation,V2.2.2,"Verify that the application is designed to enforce input validation at a trusted service layer. While client-side validation improves usability and should be encouraged, it must not be relied upon as a security control.",1,信頼できるサービス層で入力検証を強制するようにアプリケーションが設計されていることを確認してください。クライアント側の検証はユーザビリティを向上させるため奨励されるべきですが、セキュリティ制御として依存してはなりません。,対応済み,,対象外,要件を満たしている。¥nすべての入力データに対し、クライアント側に依存することなく、信頼できるサービス層（バックエンドのFastify/Zod）で厳格な入力検証を強制する設計となっている。,対象外,server/ のルート定義とバリデーション実装,ソースコード
V2,Validation and Business Logic,V2.2,Input Validation,V2.2.3,Verify that the application ensures that combinations of related data items are reasonable according to the pre-defined rules.,2,アプリケーションが、事前定義されたルールに従って関連するデータ項目の組み合わせが妥当であることを保証していることを確認してください。,対応済み,,対象外,要件を満たしている。¥n関連するデータ項目の妥当性（例：特定のステータスの場合のみ必須となるフィールド等）は、ユースケース層のビジネスロジックで事前定義されたルールに従ってチェックされている。,対象外,server/service/ 以下のビジネスロジック,ソースコード
V2,Validation and Business Logic,V2.3,Business Logic Security,V2.3.1,Verify that the application will only process business logic flows for the same user in the expected sequential step order and without skipping steps.,1,アプリケーションが、同じユーザーのビジネスロジックフローを期待される順序ステップで処理し、ステップをスキップしないことを確認してください。,対象外,,対象外,実装は対象外（該当機能なし）。¥n本システムは単一ステップのCRUD操作（タスクの作成・更新等）のみで構成されており、複数ステップにまたがる順次処理のビジネスロジックフロー自体が存在しないため。,対象外,対象外,ソースコード
V2,Validation and Business Logic,V2.3,Business Logic Security,V2.3.2,Verify that business logic limits are implemented per the application's documentation to avoid business logic flaws being exploited.,2,ビジネスロジックの欠陥が悪用されるのを防ぐために、アプリケーションのドキュメントに従ってビジネスロジックの制限が実装されていることを確認してください。,対応済み,,対象外,要件を満たしている。¥nビジネスロジックの制限（例：未認可リソースへのアクセス制限、状態遷移の制約など）は、ユースケース層でガード節を用いて適切に実装されており、不正な状態遷移を防いでいる。,対象外,server/ 側の状態遷移ロジック,ドキュメント
V2,Validation and Business Logic,V2.3,Business Logic Security,V2.3.3,Verify that transactions are being used at the business logic level such that either a business logic operation succeeds in its entirety or it is rolled back to the previous correct state.,2,トランザクションがビジネスロジック層で使用され、ビジネスロジック操作が完全に成功するか、以前の正しい状態にロールバックされるようになっていることを確認してください。,対応済み,,対象外,要件を満たしている。¥n複数のデータベース更新を伴うクリティカルなビジネスロジックでは、Prismaの `$transaction` APIを使用しており、操作が完全に成功するか、エラー時に自動でロールバックされる設計となっている。,対象外,server/ 内の `prisma.$transaction` 使用箇所,ソースコード
V2,Validation and Business Logic,V2.3,Business Logic Security,V2.3.4,Verify that business logic level locking mechanisms are used to ensure that limited quantity resources (such as theater seats or delivery slots) cannot be double-booked by manipulating the application's logic.,2,アプリケーションのロジックを操作することによって限られた量のリソース（劇場の座席や配達枠など）が二重予約されないようにするために、ビジネスロジックレベルのロックメカニズムが使用されていることを確認してください。,対象外,,対象外,実装は対象外。¥n本アプリケーションでは座席予約や数量限定商品の購入のような、厳密な排他制御（ロック）を要求する限定リソースの取り扱いは存在しない前提とする。,対象外,該当なし,ソースコード
V2,Validation and Business Logic,V2.3,Business Logic Security,V2.3.5,"Verify that high-value business logic flows require multi-user approval to prevent unauthorized or accidental actions. This could include but is not limited to large monetary transfers, contract approvals, access to classified information, or safety overrides in manufacturing.",3,価値の高いビジネスロジックフローが、無認可の（unauthorized）または偶発的なアクションを防ぐために、複数ユーザーによる承認を必要とすることを確認してください。これには、多額の資金移動、契約の承認、機密情報へのアクセスなどが含まれますが、これらに限定されません。,対象外,,対象外,要件を満たしている（該当機能なし）。¥n本システムでは高額な送金や、複数ユーザーの承認（ワークフロー）を必要とするような高リスクのビジネスロジックフローは現状実装されていない。,Amazon Cognito,対象外,インフラリソース
V2,Validation and Business Logic,V2.4,Anti-automation,V2.4.1,"Verify that anti-automation controls are in place to protect against excessive calls to application functions that could lead to data exfiltration, garbage-data creation, quota exhaustion, rate-limit breaches, denial-of-service, or overuse of costly resources.",2,データの持ち出し、ゴミデータの作成、クォータの枯渇、レート制限の違反、サービス拒否、または高価なリソースの過剰使用につながる可能性のある、アプリケーション機能への過剰な呼び出しから保護するために、アンチオートメーション（自動化防止）の制御が適切に配置されていることを確認してください。,確認中,CloudFront側でアクセス頻度を制限する設定（レート制限など）が有効になっているか、インフラ設定を確認すること。,対象外,未検証（インフラ設定の確認が必要）。¥nバックエンドのソースコード上にはレート制限が実装されていなかった。インフラ構成に含まれるCloudFront側で設定・代用されている可能性があるため、そちらの設定状態を確認する必要がある。,CloudFront,対象外,インフラリソース¥nソースコード
V2,Validation and Business Logic,V2.4,Anti-automation,V2.4.2,"Verify that business logic flows require realistic human timing, preventing excessively rapid transaction submissions.",3,ビジネスロジックフローが現実的な人間のタイミングを必要とし、過度に速いトランザクションの送信を防ぐことを確認してください。,対象外,,対象外,要件を満たしている（該当機能なし）。¥n人間による操作であることを証明するタイミングチェックが必要なビジネスロジック（例：超高速な自動売買の防止など）は、本システムでは対象外である。,Amazon Cognito,対象外,インフラリソース
