chapter_id,chapter_name,section_id,section_name,req_id,req_description,L,日本語訳,明文化・文書化の要点,AWS_React_TypeScript_確認内容
V2,Validation and Business Logic,V2.2,Input Validation,V2.2.1,"Verify that input is validated to enforce business or functional expectations for that input. This should either use positive validation against an allow list of values, patterns, and ranges, or be based on comparing the input to an expected structure and logical limits according to predefined rules. For L1, this can focus on input which is used to make specific business or security decisions. For L2 and up, this should apply to all input.",1,入力が検証され、その入力に対するビジネス上または機能上の期待が満たされていることを確認します。これは、許可された値、パターン、範囲のリストに対する肯定的な検証を使用するか、事前定義されたルールに従って、入力を期待される構造と論理的な制限と比較することに基づく必要があります。レベル1では、これは特定のビジネス上またはセキュリティ上の決定を行うために使用される入力に焦点を当てることができます。レベル2以上では、これはすべての入力に適用されます。,,TS / ECS: 信頼できないすべての入力データに対し、Zodなどのバリデータを用いて、ホワイトリスト方式（許可された値、パターン、範囲のみを通す）で検証が行われていることを確認する。
V2,Validation and Business Logic,V2.2,Input Validation,V2.2.2,"Verify that the application is designed to enforce input validation at a trusted service layer. While client-side validation improves usability and should be encouraged, it must not be relied upon as a security control.",1,アプリケーションが、信頼できるサービス層で入力検証を強制するように設計されていることを確認してください。クライアント側の検証はユーザビリティを向上させ、推奨されるべきですが、セキュリティ対策として依存してはなりません。,,React / ECS (TS): React（クライアント側）でのバリデーションはユーザー体験（UX）向上のために行い、セキュリティ対策としてはECSバックエンド（信頼できるサーバー境界）でのバリデーションを必須としていることを確認する。
V2,Validation and Business Logic,V2.2,Input Validation,V2.2.3,Verify that the application ensures that combinations of related data items are reasonable according to the pre-defined rules.,2,アプリケーションが、関連するデータ項目の組み合わせが、事前に定義されたルールに従って妥当であることを保証していることを確認してください。,,TS / ECS: 関連する複数のデータ項目の整合性（開始日が終了日より前であることなど）について、ビジネスルールに基づいた厳格なチェックがバックエンドで実行されていることを確認する。
V2,Validation and Business Logic,V2.3,Business Logic Security,V2.3.1,Verify that the application will only process business logic flows for the same user in the expected sequential step order and without skipping steps.,1,アプリケーションが、同じユーザーに対してのみ、想定される順序で、かつステップをスキップすることなく、ビジネスロジックフローを処理することを確認してください。,,ECS (TS): 複数ステップからなるビジネスフロー（決済から配送指示など）において、ユーザーがAPIを直接叩くことでステップをスキップしたり順序を入れ替えたりできないよう、サーバー側で現在のステートをデータベース（Aurora等）で管理・検証していることを確認する。
V2,Validation and Business Logic,V2.3,Business Logic Security,V2.3.2,Verify that business logic limits are implemented per the application's documentation to avoid business logic flaws being exploited.,2,ビジネスロジックの制限がアプリケーションのドキュメントに従って実装されていることを確認し、ビジネスロジックの欠陥が悪用されるのを防いでください。,,TS / ECS: ユーザーのアクションや数値変更が、システムで定められたビジネスロジックの上限（取引金額の上限、割引率の上限など）を超えないよう、バックエンドで検証されていることを確認する。
V2,Validation and Business Logic,V2.3,Business Logic Security,V2.3.3,Verify that transactions are being used at the business logic level such that either a business logic operation succeeds in its entirety or it is rolled back to the previous correct state.,2,ビジネスロジックレベルでトランザクションが使用されていることを確認し、ビジネスロジック操作が完全に成功するか、または以前の正しい状態にロールバックされることを確認してください。,,Aurora (DB) / TS: 決済や在庫処理などの一連のビジネスロジックにおいて、Aurora DB（RDBMS）のトランザクションを使用し、エラー時には完全にロールバックされることを確認する。
V2,Validation and Business Logic,V2.3,Business Logic Security,V2.3.4,Verify that business logic level locking mechanisms are used to ensure that limited quantity resources (such as theater seats or delivery slots) cannot be double-booked by manipulating the application's logic.,2,ビジネスロジックレベルのロック機構が使用され、アプリケーションのロジックを操作することによって、数量が限られたリソース（劇場の座席や配送枠など）が二重予約されないようにしていることを確認してください。,,Aurora (DB) / TS: 数量限定リソース（在庫や予約席）に対して、Aurora DBの行ロック（`SELECT ... FOR UPDATE`）や楽観的ロック（バージョン列）を用いて、競合（ダブルブッキング）を防止していることを確認する。
V2,Validation and Business Logic,V2.3,Business Logic Security,V2.3.5,"Verify that high-value business logic flows require multi-user approval to prevent unauthorized or accidental actions. This could include but is not limited to large monetary transfers, contract approvals, access to classified information, or safety overrides in manufacturing.",3,高額な業務ロジックフローについては、不正な操作や偶発的な操作を防ぐため、複数ユーザーによる承認が必要であることを確認してください。これには、高額な送金、契約承認、機密情報へのアクセス、製造における安全装置のオーバーライドなどが含まれますが、これらに限定されません。,,TS / ECS: 高リスクまたは高額なビジネスロジックフロー（大口送金、ユーザー権限の変更など）において、単一のユーザー操作だけでなく、別の管理者ユーザーによる承認フロー（マルチシグ/2ピープルルール）がシステム的およびワークフロー的に強制されていることを確認する。
V2,Validation and Business Logic,V2.4,Anti-automation,V2.4.1,"Verify that anti-automation controls are in place to protect against excessive calls to application functions that could lead to data exfiltration, garbage-data creation, quota exhaustion, rate-limit breaches, denial-of-service, or overuse of costly resources.",2,データ漏洩、ガベージデータ生成、クォータ枯渇、レート制限違反、サービス拒否攻撃、または高価なリソースの過剰使用につながる可能性のあるアプリケーション機能への過剰な呼び出しを防ぐための、自動化防止制御が適切に実施されていることを確認してください。,,AWS WAF / ALB / ECS: ログインAPI、新規登録、SMS送信などのエンドポイントに対して、AWS WAFのレート制限（Rate-based Rules）やECSアプリケーション内でのレート制限ミドルウェアを設定し、自動化されたBotによるクォータ枯渇やリソースの乱用を防止していることを確認する。
V2,Validation and Business Logic,V2.4,Anti-automation,V2.4.2,"Verify that business logic flows require realistic human timing, preventing excessively rapid transaction submissions.",3,ビジネスロジックの流れが現実的な人間のタイミングを必要とすることを確認し、過度に速いトランザクション送信を防止します。,,"TS / ECS: 人間としての操作ではあり得ない超高速なリクエスト送信（トランザクション試行など）を検知し、一時的なレート制限やCAPTCHA（AWS WAF CAPTCHA, reCAPTCHA等）の適用により自動実行を防止していることを確認する。"
V3,Web Frontend Security,V3.1,Web Frontend Security Documentation,V3.1.1,"Verify that application documentation states the expected security features that browsers using the application must support (such as HTTPS, HTTP Strict Transport Security (HSTS), Content Security Policy (CSP), and other relevant HTTP security mechanisms). It must also define how the application must behave when some of these features are not available (such as warning the user or blocking access).",3,アプリケーションのドキュメントに、アプリケーションを使用するブラウザがサポートする必要のあるセキュリティ機能（HTTPS、HTTP Strict Transport Security（HSTS）、Content Security Policy（CSP）、その他の関連するHTTPセキュリティメカニズムなど）が記載されていることを確認してください。また、これらの機能の一部が利用できない場合にアプリケーションがどのように動作する必要があるか（ユーザーに警告を発する、アクセスをブロックするなど）も定義する必要があります。,"ブラウザがサポートすべきセキュリティ機能（HTTPS, HSTS, CSP等）の明文化",React / CloudFront: アプリケーションがサポートすべきWebセキュリティ機能（HTTPS、HSTS、CSP、SameSiteクッキーなど）がドキュメントに定義され、レガシーブラウザ等で一部機能が動作しない場合の警告表示ポリシーが明確になっていることを確認する。
